Season,Matchday,HomeTeam,AwayTeam,1stScore,HTR,FTR,HTHG,HTAG,FTHG,FTAG
2032680,1,liv,man red,1,1,1,1,0,1,0
2032680,1,che,bou,2,3,3,0,1,1,1
2032680,1,eve,man blue,2,2,3,0,1,1,1
2032680,1,west ham,new,3,3,3,0,0,0,0
2032680,1,cry,lei,2,3,2,0,1,2,3
2032680,1,londn,tot,1,1,1,3,0,5,1
2032680,1,wat,sou,1,1,1,1,0,3,1
2032680,1,wol,bur,3,3,3,0,0,0,0
2032680,2,new,wat,1,3,1,1,1,2,1
2032680,2,tot,cry,1,1,1,3,0,6,0
2032680,2,man blue,che,1,3,1,0,0,3,0
2032680,2,man red,wol,1,1,1,1,0,1,0
2032680,2,sou,londn,2,2,2,1,3,5,1
2032680,2,lei,liv,2,2,2,0,2,0,3
2032680,2,bur,eve,2,2,2,0,3,0,3
2032680,2,bou,west ham,1,1,1,2,0,2,0
2032680,3,che,bur,3,3,3,0,0,0,0
2032680,3,sou,tot,2,2,2,0,2,0,2
2032680,3,londn,new,1,1,1,0,2,0,2
2032680,3,liv,cry,1,3,1,0,0,2,0
2032680,3,wat,bou,3,3,3,0,0,0,0
2032680,3,wol,lei,2,3,1,1,1,2,1
2032680,3,west ham,man blue,1,3,1,1,1,2,1
2032680,3,eve,man red,1,1,1,2,0,2,0
2032680,4,man red,che,2,2,3,0,2,2,2
2032680,4,cry,wol,2,2,2,0,1,0,2
2032680,4,lei,eve,1,3,1,0,0,1,0
2032680,4,new,sou,1,3,1,0,0,1,0
2032680,4,bur,west ham,2,2,2,0,1,0,1
2032680,4,tot,liv,1,1,3,2,0,3,3
2032680,4,bou,londn,1,1,3,3,0,3,3
2032680,4,man blue,wat,1,1,2,2,1,2,3
2032680,5,sou,bou,1,3,3,0,0,1,1
2032680,5,londn,man blue,1,3,1,0,0,2,0
2032680,5,new,tot,2,2,2,0,2,1,2
2032680,5,wat,bur,2,2,2,0,2,0,2
2032680,5,eve,cry,1,1,3,1,0,1,1
2032680,5,west ham,man red,1,1,3,1,0,1,1
2032680,5,wol,liv,2,2,2,0,1,0,3
2032680,5,che,lei,3,3,3,0,0,0,0
2032680,6,liv,eve,2,2,2,0,1,1,3
2032680,6,man blue,sou,1,1,1,1,0,1,0
2032680,6,tot,wol,1,3,1,0,0,2,0
2032680,6,cry,che,2,2,2,0,1,0,4
2032680,6,man red,wat,1,1,1,2,0,3,0
2032680,6,bou,new,1,1,1,1,0,1,0
2032680,6,lei,west ham,2,3,2,0,1,0,0
2032680,6,bur,londn,2,3,2,0,0,0,2
2032680,7,bou,tot,2,3,2,1,1,1,2
2032680,7,sou,bur,2,2,2,0,1,0,1
2032680,7,che,liv,1,3,1,0,0,2,0
2032680,7,eve,wol,3,3,3,0,0,0,0
2032680,7,londn,man red,1,1,3,2,0,2,2
2032680,7,new,man blue,2,2,2,0,2,0,2
2032680,7,wat,lei,1,1,3,1,0,1,1
2032680,7,west ham,cry,1,1,1,1,0,2,0
2032680,8,tot,eve,2,3,1,1,1,2,1
2032680,8,cry,wat,1,1,1,1,0,2,1
2032680,8,liv,west ham,1,1,1,2,0,3,0
2032680,8,man blue,bou,1,1,1,1,0,2,0
2032680,8,bur,new,2,2,2,0,2,0,3
2032680,8,lei,londn,2,2,3,0,1,1,1
2032680,8,wol,che,2,2,2,0,1,0,1
2032680,8,man red,sou,1,3,1,0,0,1,0
2032680,9,new,man red,1,1,1,3,1,3,2
2032680,9,londn,cry,1,3,1,0,0,1,0
2032680,9,bou,bur,1,1,3,1,0,1,1
2032680,9,man blue,tot,2,1,1,3,1,4,2
2032680,9,che,eve,2,2,2,0,3,1,4
2032680,9,sou,lei,1,3,2,1,1,1,2
2032680,9,west ham,wol,1,1,1,1,0,1,0
2032680,9,wat,liv,1,3,3,0,0,1,1
2032680,10,eve,west ham,1,1,1,2,0,3,0
2032680,10,wol,wat,3,3,3,0,0,0,0
2032680,10,bur,man blue,3,3,3,0,0,0,0
2032680,10,lei,new,3,3,3,0,0,0,0
2032680,10,cry,sou,1,3,3,0,0,1,1
2032680,10,tot,che,2,3,2,0,0,0,1
2032680,10,man red,bou,2,3,2,1,1,1,3
2032680,10,liv,londn,2,3,3,1,1,1,1
2032680,11,londn,wol,1,1,1,1,0,3,1
2032680,11,sou,liv,2,2,2,0,1,0,2
2032680,11,wat,eve,2,3,3,0,0,1,1
2032680,11,bur,tot,3,3,3,0,0,0,0
2032680,11,bou,lei,1,1,1,1,0,3,1
2032680,11,man blue,man red,2,3,3,1,1,1,1
2032680,11,west ham,che,2,2,2,0,1,1,2
2032680,11,new,cry,1,1,1,1,0,3,0
2032680,12,che,wat,3,3,3,0,0,0,0
2032680,12,man red,bur,1,1,1,1,0,2,0
2032680,12,lei,man blue,1,3,3,0,0,1,1
2032680,12,wol,sou,1,3,1,1,1,4,1
2032680,12,eve,londn,2,2,2,0,1,1,2
2032680,12,liv,new,1,1,1,2,0,2,1
2032680,12,tot,west ham,1,1,1,1,0,1,0
2032680,12,cry,bou,2,2,2,0,1,1,2
2032680,13,londn,che,2,3,2,1,1,1,3
2032680,13,man blue,cry,1,3,1,0,0,2,0
2032680,13,new,wol,2,2,2,0,1,1,2
2032680,13,man red,tot,1,1,3,1,0,2,2
2032680,13,wat,west ham,1,1,3,1,0,2,2
2032680,13,bou,liv,1,3,1,0,0,1,0
2032680,13,bur,lei,2,3,2,0,0,0,1
2032680,13,sou,eve,1,3,3,1,1,2,2
2032680,14,wol,bou,1,1,1,1,0,1,0
2032680,14,cry,bur,2,3,1,1,1,2,1
2032680,14,che,sou,2,1,1,2,1,4,1
2032680,14,tot,wat,1,3,3,0,0,1,1
2032680,14,lei,man red,2,2,2,1,2,1,2
2032680,14,liv,man blue,2,3,3,1,1,1,1
2032680,14,west ham,londn,3,3,3,0,0,0,0
2032680,14,eve,new,1,1,1,1,0,1,0
2032680,15,man red,cry,1,1,1,1,0,2,0
2032680,15,sou,west ham,1,1,1,2,0,2,1
2032680,15,bur,liv,2,2,2,0,1,0,1
2032680,15,bou,eve,1,1,1,1,0,2,1
2032680,15,new,che,1,1,2,2,1,2,4
2032680,15,londn,wat,2,2,2,0,2,0,3
2032680,15,lei,tot,1,1,1,2,0,2,1
2032680,15,man blue,wol,1,1,1,2,1,5,1
2032680,16,man red,liv,1,1,1,2,0,4,0
2032680,16,bou,che,1,1,3,1,0,2,2
2032680,16,man blue,eve,1,1,1,2,0,2,1
2032680,16,new,west ham,2,2,2,0,1,0,3
2032680,16,lei,cry,2,3,1,1,1,2,1
2032680,16,tot,londn,1,1,1,1,0,3,0
2032680,16,sou,wat,2,3,1,1,1,2,1
2032680,16,bur,wol,3,3,3,0,0,0,0
2032680,17,wat ,new,2,2,3,0,1,2,2
2032680,17,cry,tot,2,1,3,2,1,2,2
2032680,17,che,man blue,1,3,1,0,0,1,0
2032680,17,wol,man red,2,2,2,0,1,1,2
2032680,17,londn,sou,2,3,2,0,0,0,1
2032680,17,liv,lei,1,1,1,2,0,3,0
2032680,17,eve,bur,1,1,3,2,0,2,2
2032680,17,west ham,bou,2,2,3,0,1,1,1
2032680,18,bur,che,2,2,2,1,2,2,3
2032680,18,tot,sou,1,2,3,1,0,2,2
2032680,18,new,londn,2,2,2,0,1,0,1
